Technologie,Nettonennleistung (elektrische Wirkleistung) in MW,Cluster
Erdgas,5.7,0
Erdgas,5.67,0
Erdgas,5.67,0
Erdgas,5.641,0
Erdgas,5.63,0
Erdgas,5.57,0
Biomasse,5.56,0
Erdgas,5.538,0
Erdgas,5.538,0
Erdgas,5.538,0
Erdgas,5.5,0
Erdgas,5.5,0
Erdgas,5.5,0
Erdgas,5.5,0
Erdgas,5.5,0
Erdgas,5.5,0
Erdgas,5.49,0
Erdgas,5.49,0
Biomasse,5.48659,0
Kohle,5.484,1
Erdgas,5.424,0
Erdgas,5.424,0
Erdgas,5.4,0
Biomasse,5.36,0
Erdgas,5.336,0
Erdgas,5.336,0
Erdgas,5.329,0
Erdgas,5.319,0
Erdgas,5.3,0
Erdgas,5.3,0
Erdgas,5.25,0
Erdgas,5.238,0
Erdgas,5.235,0
Erdgas,5.2,0
Erdgas,5.17,0
Erdgas,5.167,0
Erdgas,5.167,0
Erdgas,5.167,0
Erdgas,5.163,0
Erdgas,5.155,0
Erdgas,5.104,0
Erdgas,5.104,0
Erdgas,5.1,0
Erdgas,5.1,0
Erdgas,5.1,0
Erdgas,5.083,0
Erdgas,5.07,0
Erdgas,5.07,0
Erdgas,5.025,0
Erdgas,5.025,0
Biomasse,5.0,0
Erdgas,5.0,0
Erdgas,5.0,0
Biomasse,5.0,0
Erdgas,5.0,0
Erdgas,4.985,0
Erdgas,4.985,0
Biomasse,4.95,0
Biomasse,4.95,0
Erdgas,4.95,0
Erdgas,4.946,0
Erdgas,4.946,0
Erdgas,4.946,0
Erdgas,4.94,0
Erdgas,4.939,0
Erdgas,4.934,0
Biomasse,4.93,0
Erdgas,4.92,0
Erdgas,4.91,0
Erdgas,4.9,0
Erdgas,4.9,0
Erdgas,4.894,0
Erdgas,4.894,0
Erdgas,4.894,0
Erdgas,4.85,0
Erdgas,4.831,0
Erdgas,4.811,0
Erdgas,4.8,0
Erdgas,4.8,0
Erdgas,4.77,0
Erdgas,4.757,0
Erdgas,4.75,0
Erdgas,4.7,0
Biomasse,4.69,0
Biomasse,4.69,0
Erdgas,4.548,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Biomasse,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.5,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.472,0
Erdgas,4.466,0
Erdgas,4.459,0
Erdgas,4.459,0
Erdgas,4.457,0
Erdgas,4.457,0
Erdgas,4.457,0
Biomasse,4.442,0
Erdgas,4.44,0
Erdgas,4.44,0
Erdgas,4.44,0
Erdgas,4.432,0
Erdgas,4.432,0
Erdgas,4.431,0
Erdgas,4.431,0
Erdgas,4.429,0
